76924 40 13
76924 50 25
76924 60 43
73400 10 1
73400 20 6
73400 30 15
73400 40 20
73400 50 26
73400 60 32
76193 10 1
76193 20 6
76193 30 15
76193 40 29
76193 50 26
76193 60 23
79481 10 1
79481 20 4
79481 30 15
79481 40 19
79481 50 28
79481 60 33
72061 10 1
72061 20 10
72061 30 19
72061 40 24
72061 50 25
72061 60 21
78043 10 1
78043 20 6
78043 30 20
78043 40 28
78043 50 21
78043 60 25
56672 10 0
56672 20 5
56672 30 17
56672 40 27
56672 50 27
56672 60 24
74818 10 1
74818 20 6
74818 30 16
74818 40 29
74818 50 26
74818 60 22
72055 10 1
72055 20 5
72055 30 14
72055 40 20
72055 50 26
72055 60 36
27445 10 1
27445 20 6
27445 30 15
27445 40 25
27445 50 31
27445 60 22
56630 10 1
56630 20 8
56630 30 21
56630 40 26
56630 50 22
56630 60 22
56787 10 1
56787 20 6
56787 30 14
56787 40 28
56787 50 28
56787 60 23
27340 10 0
27340 20 5
27340 30 11
27340 40 17
27340 50 27
27340 60 38
73543 10 1
73543 20 5
73543 30 14
73543 40 27
73543 50 28
73543 60 26
56693 10 1
56693 20 5
56693 30 16
56693 40 34
56693 50 28
56693 60 17
56617 10 0
56617 20 4
56617 30 10
56617 40 20
56617 50 28
56617 60 37
27814 10 0
27814 20 6
27814 30 17
27814 40 23
27814 50 29
27814 60 24
56651 10 0
56651 20 5
56651 30 17
56651 40 26
56651 50 27
56651 60 25
56714 10 1
56714 20 4
56714 30 14
56714 40 31
56714 50 29
56714 60 21
73407 10 1
73407 20 7
73407 30 21
73407 40 25
73407 50 26
73407 60 21
27507 10 1
27507 20 3
27507 30 15
27507 40 25
27507 50 30
27507 60 25
78364 10 0
78364 20 0
78364 30 0
78364 40 0
78364 50 0
78364 60 0
76192 10 0
76192 20 5
76192 30 10
76192 40 17
76192 50 22
76192 60 45
56648 10 0
56648 20 6
56648 30 19
56648 40 31
56648 50 26
56648 60 18
74798 10 1
74798 20 4
74798 30 10
74798 40 15
74798 50 24
74798 60 47
56704 10 1
56704 20 4
56704 30 15
56704 40 31
56704 50 31
56704 60 17
74827 10 1
74827 20 5
74827 30 17
74827 40 25
74827 50 28
74827 60 24
56772 10 1
56772 20 5
56772 30 12
56772 40 21
56772 50 27
56772 60 34
72051 10 1
72051 20 6
72051 30 11
72051 40 19
72051 50 27
72051 60 36
76914 10 0
76914 20 12
76914 30 22
76914 40 20
76914 50 28
76914 60 19
79486 10 0
79486 20 12
79486 30 12
79486 40 19
79486 50 33
79486 60 23
56700 10 0
56700 20 5
56700 30 13
56700 40 28
56700 50 27
56700 60 26
74979 10 1
74979 20 5
74979 30 17
74979 40 27
74979 50 25
74979 60 25
56710 10 1
56710 20 5
56710 30 13
56710 40 33
56710 50 26
56710 60 22
56720 10 1
56720 20 7
56720 30 18
56720 40 32
56720 50 28
56720 60 14
74794 10 1
74794 20 4
74794 30 8
74794 40 11
74794 50 24
74794 60 53
76912 10 1
76912 20 13
76912 30 22
76912 40 20
76912 50 22
76912 60 22
79491 10 2
79491 20 35
79491 30 11
79491 40 27
79491 50 24
79491 60 1
56724 10 1
56724 20 7
56724 30 18
56724 40 28
56724 50 27
56724 60 20
27275 10 1
27275 20 4
27275 30 13
27275 40 29
27275 50 31
27275 60 22
74851 10 1
74851 20 5
74851 30 13
74851 40 28
74851 50 28
74851 60 26
56801 10 1
56801 20 5
56801 30 15
56801 40 34
56801 50 27
56801 60 19
74811 10 0
74811 20 5
74811 30 14
74811 40 30
74811 50 27
74811 60 23
27362 10 2
27362 20 8
27362 30 16
27362 40 28
27362 50 27
27362 60 19
76854 10 1
76854 20 5
76854 30 16
76854 40 23
76854 50 25
76854 60 30
56670 10 1
56670 20 5
56670 30 12
56670 40 24
56670 50 31
56670 60 28
56762 10 0
56762 20 5
56762 30 15
56762 40 14
56762 50 25
56762 60 41
27570 10 1
27570 20 5
27570 30 15
27570 40 26
27570 50 30
27570 60 23
56817 10 1
56817 20 6
56817 30 18
56817 40 31
56817 50 27
56817 60 17
76909 10 1
76909 20 6
76909 30 14
76909 40 26
76909 50 28
76909 60 25
56780 10 1
56780 20 6
56780 30 16
56780 40 33
56780 50 28
56780 60 16
27447 10 0
27447 20 5
27447 30 14
27447 40 26
27447 50 29
27447 60 25
56654 10 0
56654 20 7
56654 30 19
56654 40 31
56654 50 25
56654 60 18
56634 10 1
56634 20 6
56634 30 17
56634 40 28
56634 50 26
56634 60 22
27310 10 1
27310 20 4
27310 30 14
27310 40 30
27310 50 29
27310 60 24
79488 10 1
79488 20 8
79488 30 9
79488 40 15
79488 50 25
79488 60 41
76926 10 1
76926 20 13
76926 30 13
76926 40 20
76926 50 25
76926 60 29
73408 10 1
73408 20 6
73408 30 16
73408 40 29
73408 50 25
73408 60 23
74772 10 1
74772 20 6
74772 30 23
74772 40 23
74772 50 28
74772 60 19
73405 10 1
73405 20 22
73405 30 27
73405 40 13
73405 50 13
73405 60 24
76929 10 1
76929 20 12
76929 30 13
76929 40 22
76929 50 24
76929 60 27
56748 10 1
56748 20 5
56748 30 17
56748 40 34
56748 50 27
56748 60 15
27779 10 1
27779 20 3
27779 30 7
27779 40 19
27779 50 36
27779 60 35
56723 10 1
56723 20 6
56723 30 16
56723 40 30
56723 50 28
56723 60 19
27617 10 1
27617 20 8
27617 30 17
27617 40 27
27617 50 28
27617 60 19
27950 10 1
27950 20 5
27950 30 23
27950 40 33
27950 50 24
27950 60 15
27259 10 1
27259 20 6
27259 30 15
27259 40 31
27259 50 29
27259 60 19
72058 10 1
72058 20 6
72058 30 16
72058 40 24
72058 50 26
72058 60 27
74223 10 1
74223 20 8
74223 30 21
74223 40 26
74223 50 27
74223 60 17
27668 10 1
27668 20 5
27668 30 15
27668 40 27
27668 50 29
27668 60 24
74978 10 1
74978 20 6
74978 30 17
74978 40 30
74978 50 27
74978 60 19
76918 10 1
76918 20 46
76918 30 18
76918 40 14
76918 50 13
76918 60 8
56706 10 1
56706 20 6
56706 30 18
56706 40 31
56706 50 30
56706 60 15
56811 10 1
56811 20 6
56811 30 17
56811 40 33
56811 50 27
56811 60 17
76930 10 1
76930 20 5
76930 30 9
76930 40 21
76930 50 27
76930 60 38
27715 10 0
27715 20 7
27715 30 15
27715 40 31
27715 50 26
27715 60 21
74226 10 1
74226 20 10
74226 30 21
74226 40 25
74226 50 22
74226 60 21
76927 10 1
76927 20 12
76927 30 29
76927 40 23
76927 50 21
76927 60 14
56639 10 1
56639 20 4
56639 30 13
56639 40 34
56639 50 30
56639 60 17
71504 10 0
71504 20 7
71504 30 15
71504 40 27
71504 50 28
71504 60 22
56664 10 0
56664 20 6
56664 30 16
56664 40 28
56664 50 28
56664 60 22
46753 10 1
46753 20 4
46753 30 16
46753 40 29
46753 50 27
46753 60 22
79484 10 3
79484 20 29
79484 30 17
79484 40 16
79484 50 23
79484 60 12
27256 10 1
27256 20 6
27256 30 15
27256 40 27
27256 50 28
27256 60 24
27385 10 1
27385 20 6
27385 30 15
27385 40 28
27385 50 26
27385 60 23
56650 10 1
56650 20 7
56650 30 17
56650 40 30
56650 50 26
56650 60 20
56616 10 1
56616 20 5
56616 30 19
56616 40 32
56616 50 27
56616 60 17
74778 10 1
74778 20 5
74778 30 15
74778 40 28
74778 50 26
